"Date","tffc"
"2000-01-31",7.692062
"2000-02-29",7.222425
"2000-03-31",7.071465
"2000-04-30",6.486421
"2000-05-31",6.789661
"2000-06-30",6.783197
"2000-07-31",6.970518
"2000-08-31",7.320572
"2000-09-30",6.629874
"2000-10-31",6.738354
"2000-11-30",6.858912
"2000-12-31",8.058291
"2001-01-31",8.058063
"2001-02-28",7.026546
"2001-03-31",7.362239
"2001-04-30",6.620594
"2001-05-31",6.542012
"2001-06-30",6.482683
"2001-07-31",6.97562
"2001-08-31",7.134657
"2001-09-30",6.340761
"2001-10-31",6.670422
"2001-11-30",6.487865
"2001-12-31",7.0983
"2002-01-31",7.568672
"2002-02-28",6.777398
"2002-03-31",7.23929
"2002-04-30",6.654541
"2002-05-31",6.612856
"2002-06-30",6.657799
"2002-07-31",7.152411
"2002-08-31",7.126571
"2002-09-30",6.550505
"2002-10-31",6.720017
"2002-11-30",6.909449
"2002-12-31",7.622747
"2003-01-31",8.039713
"2003-02-28",7.352223
"2003-03-31",7.250885
"2003-04-30",6.563808
"2003-05-31",6.456592
"2003-06-30",6.424067
"2003-07-31",7.014799
"2003-08-31",7.162053
"2003-09-30",6.499037
"2003-10-31",6.708386
"2003-11-30",6.753287
"2003-12-31",7.684241
"2004-01-31",8.096323
"2004-02-29",7.589798
"2004-03-31",7.263378
"2004-04-30",6.692449
"2004-05-31",6.765564
"2004-06-30",6.739287
"2004-07-31",7.121877
"2004-08-31",7.099052
"2004-09-30",6.65937
"2004-10-31",6.817708
"2004-11-30",6.945019
"2004-12-31",7.876444
"2005-01-31",8.015701
"2005-02-28",7.152356
"2005-03-31",7.55195
"2005-04-30",6.615682
"2005-05-31",6.708309
"2005-06-30",6.914146
"2005-07-31",7.266962
"2005-08-31",7.413572
"2005-09-30",6.621822
"2005-10-31",6.660177
"2005-11-30",6.78902
"2005-12-31",7.91297
"2006-01-31",7.470393
"2006-02-28",7.004642
"2006-03-31",7.361981
"2006-04-30",6.523944
"2006-05-31",6.678094
"2006-06-30",6.819267
"2006-07-31",7.294424
"2006-08-31",7.432139
"2006-09-30",6.606302
"2006-10-31",6.921649
"2006-11-30",6.862516
"2006-12-31",7.501847
"2007-01-31",7.838025
"2007-02-28",7.566001
"2007-03-31",7.29742
"2007-04-30",6.739492
"2007-05-31",6.726061
"2007-06-30",6.798607
"2007-07-31",7.145962
"2007-08-31",7.49518
"2007-09-30",6.737768
"2007-10-31",6.807023
"2007-11-30",6.883434
"2007-12-31",7.770058
"2008-01-31",8.066247
"2008-02-29",7.416912
"2008-03-31",7.303725
